samples,treatment,batch
ENCSR000CPH_1,RNAseq,1
ENCSR000CPH_2,RNAseq,1
ENCSR011GAO_1,HMGN1,2
ENCSR011GAO_2,HMGN1,3
ENCSR016WFQ_1,CRISPRi_CONTROL,2
ENCSR016WFQ_2,CRISPRi_CONTROL,3
ENCSR024HAR_1,STAT6,4
ENCSR024HAR_2,STAT6,5
ENCSR028FBD_1,DPF2,4
ENCSR028FBD_2,DPF2,5
ENCSR039VEQ_1,NONO,4
ENCSR039VEQ_3,NONO,4
ENCSR039VEQ_4,NONO,5
ENCSR043UMW_3,RNF2,4
ENCSR043UMW_4,RNF2,5
ENCSR046FQX_1,LDB1,4
ENCSR046FQX_2,LDB1,5
ENCSR052BWT_1,USF2,4
ENCSR052BWT_2,USF2,5
ENCSR052ZPX_3,RELA,4
ENCSR052ZPX_4,RELA,5
ENCSR069OUL_1,HMGA1,2
ENCSR069OUL_2,HMGA1,3
ENCSR073QLQ_1,ILF2,4
ENCSR073QLQ_2,ILF2,5
ENCSR074FBG_1,TEAD2,4
ENCSR074FBG_2,TEAD2,5
ENCSR084NTT_1,SRF,2
ENCSR084NTT_2,SRF,3
ENCSR095PIC_1,CRISPRi_CONTROL,4
ENCSR095PIC_2,CRISPRi_CONTROL,5
ENCSR096VPS_3,NFYA,4
ENCSR096VPS_4,NFYA,5
ENCSR103URL_1,ZNF384,2
ENCSR103URL_2,ZNF384,3
ENCSR104JMN_1,MXD3,4
ENCSR104JMN_2,MXD3,5
ENCSR104QKG_3,SIX5,4
ENCSR104QKG_4,SIX5,5
ENCSR123IMQ_1,ATF3,4
ENCSR123IMQ_2,ATF3,5
ENCSR126GEQ_1,SMARCA4,4
ENCSR126GEQ_2,SMARCA4,5
ENCSR160YSN_1,HMGN3,4
ENCSR160YSN_2,HMGN3,5
ENCSR171KMM_1,NFYB,2
ENCSR171KMM_2,NFYB,3
ENCSR171KMM_3,NFYB,4
ENCSR171KMM_4,NFYB,5
ENCSR171RTN_1,CTBP1,4
ENCSR171RTN_2,CTBP1,5
ENCSR181WYS_1,WHSC1,2
ENCSR181WYS_2,WHSC1,3
ENCSR181WYS_3,WHSC1,4
ENCSR181WYS_4,WHSC1,5
ENCSR184VVN_1,STAT1,2
ENCSR184VVN_2,STAT1,3
ENCSR190RZZ_1,BACH1,4
ENCSR190RZZ_2,BACH1,5
ENCSR200UDS_1,CITED2,4
ENCSR200UDS_2,CITED2,5
ENCSR223QTD_1,ZBTB33,2
ENCSR223QTD_2,ZBTB33,3
ENCSR235ZEI_1,RBBP7,4
ENCSR235ZEI_3,RBBP7,4
ENCSR235ZEI_4,RBBP7,5
ENCSR243VNX_1,HMGN2,2
ENCSR243VNX_2,HMGN2,3
ENCSR263IOO_1,HMGB2,2
ENCSR263IOO_2,HMGB2,3
ENCSR267BHU_1,ZNF395,4
ENCSR267BHU_2,ZNF395,5
ENCSR268DNJ_1,ERF,4
ENCSR268DNJ_2,ERF,5
ENCSR294ZCD_1,THAP1,4
ENCSR294ZCD_2,THAP1,5
ENCSR299HUJ_1,NRF1,4
ENCSR299HUJ_3,NRF1,4
ENCSR299HUJ_4,NRF1,5
ENCSR357LVC_3,NR4A1,4
ENCSR357LVC_4,NR4A1,5
ENCSR359VJC_1,HOXB4,4
ENCSR359VJC_2,HOXB4,5
ENCSR369BHC_1,HDAC8,2
ENCSR369BHC_2,HDAC8,3
ENCSR376CFR_1,STAT5A,4
ENCSR376CFR_2,STAT5A,5
ENCSR381TNV_1,NFATC1,4
ENCSR381TNV_2,NFATC1,5
ENCSR385ZTW_1,NFE2L1,2
ENCSR385ZTW_2,NFE2L1,3
ENCSR385ZTW_3,NFE2L1,4
ENCSR385ZTW_4,NFE2L1,5
ENCSR389OCD_1,JUND,4
ENCSR389OCD_2,JUND,5
ENCSR399QAP_1,TLE2,4
ENCSR399QAP_2,TLE2,5
ENCSR409OFU_1,SNW1,6
ENCSR409OFU_2,SNW1,7
ENCSR469EFL_1,STAT2,4
ENCSR469EFL_2,STAT2,5
ENCSR545HTM_1,USF1,2
ENCSR545HTM_2,USF1,3
ENCSR550FIL_1,TEAD4,4
ENCSR550FIL_2,TEAD4,5
ENCSR552HTC_1,TFDP1,4
ENCSR552HTC_2,TFDP1,5
ENCSR557BMX_1,GATA2,4
ENCSR557BMX_2,GATA2,5
ENCSR591QYK_1,TRIM28,4
ENCSR591QYK_2,TRIM28,5
ENCSR608ORR_1,UBTF,2
ENCSR608ORR_2,UBTF,3
ENCSR619EYC_1,RFX5,4
ENCSR619EYC_2,RFX5,5
ENCSR620DOP_1,KLF2,4
ENCSR620DOP_2,KLF2,5
ENCSR650QAK_1,SP1,4
ENCSR650QAK_3,SP1,4
ENCSR650QAK_4,SP1,5
ENCSR688UTN_1,NR2F2,4
ENCSR688UTN_3,NR2F2,4
ENCSR688UTN_4,NR2F2,5
ENCSR701TVL_1,FOXM1,4
ENCSR701TVL_2,FOXM1,5
ENCSR713AEC_1,HINFP,2
ENCSR713AEC_2,HINFP,3
ENCSR715EDZ_2,SP2,5
ENCSR715EDZ_3,SP2,4
ENCSR715EDZ_4,SP2,5
ENCSR731FEO_3,SMAD5,4
ENCSR731FEO_4,SMAD5,5
ENCSR731XIE_1,TARDBP,4
ENCSR731XIE_2,TARDBP,5
ENCSR733ROU_1,MAF1,4
ENCSR733ROU_2,MAF1,5
ENCSR733TFF_1,MEIS2,4
ENCSR733TFF_2,MEIS2,5
ENCSR734VBC_1,HSF1,4
ENCSR734VBC_2,HSF1,5
ENCSR761AQZ_1,CRISPRi_CONTROL,6
ENCSR761AQZ_2,CRISPRi_CONTROL,7
ENCSR773VKE_1,FOXK2,4
ENCSR773VKE_2,FOXK2,5
ENCSR781XJD_1,ZNF143,2
ENCSR781XJD_2,ZNF143,3
ENCSR800PWS_1,TBL1XR1,4
ENCSR800PWS_2,TBL1XR1,5
ENCSR808HQN_1,NR2C2,2
ENCSR808HQN_3,NR2C2,4
ENCSR808HQN_4,NR2C2,5
ENCSR810RIC_1,HOXB9,2
ENCSR810RIC_2,HOXB9,3
ENCSR819PCU_1,SETDB1,4
ENCSR819PCU_2,SETDB1,5
ENCSR819PCU_3,SETDB1,4
ENCSR850LOZ_1,GATA1,2
ENCSR850LOZ_2,GATA1,3
ENCSR862UHT_1,DLX1,4
ENCSR862UHT_2,DLX1,5
ENCSR898UNK_1,ARID3A,4
ENCSR898UNK_2,ARID3A,5
ENCSR900AQL_1,KHSRP,2
ENCSR900AQL_2,KHSRP,3
ENCSR905SEH_1,MITF,4
ENCSR905SEH_2,MITF,5
ENCSR911BML_1,ZC3H11A,2
ENCSR911BML_2,ZC3H11A,3
ENCSR942XXL_1,HMBOX1,2
ENCSR942XXL_2,HMBOX1,3
